Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Delta,Delta_Price
2016-11-28 00:00:00+00:00,207.88300000000004,40.144000000000005,1.078,1.0260000000000002,41.22200000000001,166.66100000000003,170994186.00000006
2016-11-29 00:00:00+00:00,214.817,25.88,1.164,1.0050000000000003,27.044,187.773,188711865.00000006
2016-11-30 00:00:00+00:00,210.243,18.061,1.068,0.8150000000000002,19.129,191.114,155757910.00000003
2016-12-01 00:00:00+00:00,206.49400000000009,52.626,0.806,0.6320000000000002,53.432,153.0620000000001,96735184.0000001
2016-12-02 00:00:00+00:00,202.587,45.252,1.0699999999999998,0.9300000000000004,46.322,156.265,145326450.00000006
2016-12-03 00:00:00+00:00,179.80800000000002,8.065,1.038,0.9940000000000004,9.103,170.705,169680770.0000001
2016-12-04 00:00:00+00:00,171.028,2.394,0.967,0.8920000000000002,3.361,167.667,149558964.00000003
2016-12-05 00:00:00+00:00,210.6,12.557000000000004,0.934,1.106,13.491000000000003,197.10899999999998,218002554.0
2016-12-06 00:00:00+00:00,211.52,19.380000000000003,1.033,1.2139999999999995,20.413,191.107,232003897.9999999
2016-12-07 00:00:00+00:00,210.48799999999997,7.948999999999999,0.979,0.9330000000000004,8.928,201.55999999999997,188055480.00000006
2016-12-08 00:00:00+00:00,177.872,2.9579999999999997,0.903,0.7420000000000003,3.8609999999999993,174.01100000000002,129116162.00000009
2016-12-09 00:00:00+00:00,189.63,22.894,1.128,0.8560000000000002,24.022,165.608,141760448.00000003
2016-12-10 00:00:00+00:00,171.70099999999996,12.987000000000002,1.086,0.7220000000000002,14.073,157.62799999999996,113807416.0
2016-12-11 00:00:00+00:00,163.808,34.386,0.917,0.5990000000000003,35.303,128.505,76974495.00000003
2016-12-12 00:00:00+00:00,204.278,45.581,0.8600000000000001,1.0670000000000002,46.441,157.837,168412079.0
2016-12-13 00:00:00+00:00,209.19,5.801,0.906,1.1890000000000005,6.707,202.483,240752287.00000012
2016-12-14 00:00:00+00:00,205.83400000000003,4.759,0.777,1.3680000000000003,5.5360000000000005,200.29800000000003,274007664.0000001
2016-12-15 00:00:00+00:00,208.426,10.606,0.8350000000000001,1.1040000000000003,11.441,196.98499999999999,217471440.00000006
2016-12-16 00:00:00+00:00,208.672,9.854,0.91,1.307,10.764,197.908,258665756.0
2016-12-17 00:00:00+00:00,184.361,9.967999999999998,0.911,1.0830000000000002,10.878999999999998,173.482,187881006.00000003
2016-12-18 00:00:00+00:00,171.332,5.285,0.7160000000000001,0.9010000000000002,6.001,165.331,148963231.00000003
2016-12-19 00:00:00+00:00,210.43100000000004,8.384,0.7200000000000001,1.422,9.104,201.32700000000003,286286994.00000006
2016-12-20 00:00:00+00:00,213.842,8.068999999999999,0.7570000000000001,1.1860000000000004,8.825999999999997,205.01600000000002,243148976.0000001
2016-12-21 00:00:00+00:00,209.902,4.817000000000001,0.809,0.9690000000000004,5.626000000000002,204.27599999999998,197943444.00000006
2016-12-22 00:00:00+00:00,206.098,0.7790000000000004,0.7440000000000001,1.0660000000000005,1.5229999999999997,204.57500000000002,218076950.00000012
2016-12-23 00:00:00+00:00,191.251,1.707,0.7650000000000001,0.8560000000000002,2.472,188.779,161594824.00000006
2016-12-24 00:00:00+00:00,163.36,6.945,0.683,0.325,7.628,155.73200000000003,50612900.00000001
2016-12-25 00:00:00+00:00,153.66600000000005,41.42600000000001,0.5890000000000001,-0.1009999999999999,42.015000000000015,111.65100000000004,-11276750.999999993
2016-12-26 00:00:00+00:00,153.48200000000003,28.264,0.8490000000000001,0.107,29.113000000000003,124.36900000000003,13307483.000000004
2016-12-27 00:00:00+00:00,175.07799999999995,55.55400000000001,0.8930000000000001,0.609,56.44700000000001,118.63099999999994,72246278.99999996
2016-12-28 00:00:00+00:00,176.87,39.607,0.7250000000000001,1.015,40.332,136.538,138586070.0
2016-12-29 00:00:00+00:00,182.041,21.497,0.896,1.1190000000000002,22.393,159.648,178646112.00000003
2016-12-30 00:00:00+00:00,181.06200000000007,4.364999999999999,0.8800000000000001,1.0010000000000003,5.244999999999999,175.81700000000006,175992817.00000012
2016-12-31 00:00:00+00:00,166.95100000000005,3.008,0.953,0.8810000000000002,3.961,162.99000000000004,143594190.0000001
2017-01-01 00:00:00+00:00,159.77000000000004,1.3250000000000004,0.8990000000000001,0.592,2.224,157.54600000000005,93267232.00000001
2017-01-02 00:00:00+00:00,192.369,13.404,0.789,1.0400000000000005,14.193,178.176,185303040.00000006
2017-01-03 00:00:00+00:00,198.255,37.53099999999999,0.7530000000000001,0.8580000000000002,38.28399999999999,159.971,137255118.00000003
2017-01-04 00:00:00+00:00,201.05599999999995,51.626000000000005,0.553,0.7430000000000002,52.179,148.87699999999995,110615611.0
2017-01-05 00:00:00+00:00,199.908,47.86800000000001,0.4650000000000001,1.209,48.33300000000001,151.575,183254175.0
2017-01-06 00:00:00+00:00,184.026,49.667,0.5140000000000001,1.225,50.181,133.845,163960125.0
2017-01-07 00:00:00+00:00,189.039,27.132,0.669,0.9920000000000004,27.801000000000005,161.238,159948096.0000001
2017-01-08 00:00:00+00:00,179.15300000000002,19.418,0.435,1.0270000000000004,19.853,159.3,163601100.00000006
2017-01-09 00:00:00+00:00,212.687,28.876,0.544,1.243,29.42,183.267,227800881.0
2017-01-10 00:00:00+00:00,219.847,16.592,0.521,1.232,17.113,202.734,249768288.0
2017-01-11 00:00:00+00:00,221.7920000000001,19.981,0.509,0.8610000000000002,20.49,201.30200000000008,173321022.00000012
2017-01-12 00:00:00+00:00,214.16699999999997,19.693,0.5660000000000001,0.8420000000000002,20.259,193.90799999999996,163270536.0
2017-01-13 00:00:00+00:00,213.99,41.766000000000005,0.4760000000000001,0.9690000000000004,42.242,171.748,166423812.00000006
2017-01-14 00:00:00+00:00,189.202,34.253,0.492,0.7890000000000003,34.745,154.457,121866573.00000003
2017-01-15 00:00:00+00:00,175.69200000000004,21.351,0.675,0.9470000000000004,22.026,153.66600000000003,145521702.0000001
2017-01-16 00:00:00+00:00,213.62100000000007,8.494999999999997,0.617,1.5639999999999998,9.111999999999998,204.50900000000007,319852076.00000006
2017-01-17 00:00:00+00:00,219.62,33.244,0.513,1.9960000000000004,33.75699999999999,185.863,370982548.00000006
2017-01-18 00:00:00+00:00,220.772,17.781000000000002,0.5650000000000001,1.922,18.346,202.426,389062771.99999994
2017-01-19 00:00:00+00:00,221.418,4.559,0.649,1.7639999999999998,5.208,216.21,381394440.0
2017-01-20 00:00:00+00:00,218.69599999999997,2.865,0.7000000000000001,1.591,3.5650000000000004,215.13099999999997,342273420.99999994
2017-01-21 00:00:00+00:00,196.314,6.186999999999999,0.679,1.213,6.866,189.44799999999998,229800424.0
2017-01-22 00:00:00+00:00,182.209,30.682,0.6960000000000001,1.0420000000000005,31.378,150.83100000000002,157165902.0000001
2017-01-23 00:00:00+00:00,217.84,15.999,0.538,1.6460000000000004,16.537,201.303,331344738.00000006
2017-01-24 00:00:00+00:00,223.561,8.649000000000001,0.657,2.1810000000000005,9.306,214.255,467290155.00000006
2017-01-25 00:00:00+00:00,222.046,6.399000000000001,0.6970000000000001,1.951,7.095999999999999,214.95,419367450.0
2017-01-26 00:00:00+00:00,220.871,16.8,0.7550000000000001,1.267,17.555,203.316,257601371.99999997
2017-01-27 00:00:00+00:00,216.59,34.288,0.787,1.117,35.075,181.51500000000001,202752255.00000003
2017-01-28 00:00:00+00:00,193.719,9.900999999999998,0.7900000000000001,0.9730000000000004,10.691000000000004,183.028,178086244.0000001
2017-01-29 00:00:00+00:00,183.05400000000003,0.116,0.7830000000000001,0.7740000000000004,0.899,182.15500000000003,140987970.0000001
2017-01-30 00:00:00+00:00,221.37600000000003,1.789,0.81,1.1510000000000002,2.599,218.77700000000004,251812327.0000001
2017-01-31 00:00:00+00:00,221.027,1.889000000000001,0.7150000000000001,1.511,2.604,218.42299999999997,330037152.99999994
2017-02-01 00:00:00+00:00,218.268,0.7469999999999999,0.704,1.2140000000000002,1.4509999999999998,216.817,263215838.0000001
2017-02-02 00:00:00+00:00,215.515,1.8880000000000008,0.8230000000000001,1.1100000000000003,2.711,212.80399999999997,236212440.00000003
2017-02-03 00:00:00+00:00,207.97800000000004,1.5320000000000005,0.944,1.1760000000000002,2.476,205.50200000000004,241670352.00000006
2017-02-04 00:00:00+00:00,179.44400000000005,8.637,1.461,1.0030000000000003,10.098,169.34600000000003,169854038.0000001
